sku,brand,category,name,previous_price,sale_price,promo,case_qty
MMM08360,3M,Adhesives & Seam Sealers,3M Urethane Seam Sealer White 310mL,34.99,31.99,,6
MMM08361,3M,Adhesives & Seam Sealers,3M Urethane Seam Sealer Grey 310mL,34.99,31.99,,6
MMM08524,3M,Adhesives & Seam Sealers,3M OEM Match Epoxy Seam Sealer White,97.99,57.99,,6
MMM08526,3M,Adhesives & Seam Sealers,3M OEM Match Epoxy Seam Sealer Gray,97.99,57.99,,6
MMM08528,3M,Adhesives & Seam Sealers,3M OEM Match Epoxy Seam Sealer Black,97.99,57.99,,6
MMM08609,3M,Adhesives & Seam Sealers,3M Windo-Weld Super Fast Urethane,35.99,34.99,,6
MMM08851,3M,Adhesives & Seam Sealers,3M Cavity Wax Plus Applicator Wand Kit,37.99,34.99,,1
MMM07847,3M,Masking & Surface Protection,3M Scotch-Brite Red Durable Flex Pads,37.99,37.99,Buy 2 cases Get 1 Free,3
MMM07848,3M,Masking & Surface Protection,3M Scotch-Brite Grey Durable Flex Pads,37.99,37.99,Buy 2 cases Get 1 Free,3
MMM06349,3M,Masking & Surface Protection,3M Trim & Lift Masking Tape,63.99,39.99,,12
MMM06382,3M,Masking & Surface Protection,3M Two Way Acrylic Plus Tape 1/2in,73.99,49.99,,12
MMM06383,3M,Masking & Surface Protection,3M Two Way Acrylic Plus Tape 7/8in,107.99,69.99,,12
MMM06386,3M,Masking & Surface Protection,3M Two Way Acrylic Plus Tape 1/4in,61.99,29.99,,12
MMM06652,3M,Masking & Surface Protection,3M Yellow Masking Tape 18mm,159.99,119.99,,4
MMM06654,3M,Masking & Surface Protection,3M Yellow Masking Tape 36mm,159.99,119.99,,4
MMM06656,3M,Masking & Surface Protection,3M Yellow Masking Tape 48mm,191.99,129.99,,4
MMM06718,3M,Masking & Surface Protection,3M Scotchblok Masking Paper,74.99,64.99,,
MMM06736,3M,Masking & Surface Protection,3M Scotchblock Masking Paper,74.99,64.99,,
MMM09678,3M,Masking & Surface Protection,3M Soft Edge 1/2in Foam Masking Tape,91.99,89.99,,4
MMM26334,3M,Masking & Surface Protection,3M Scotch Green Masking Tape 3/4in,244.99,169.99,,
MMM26338,3M,Masking & Surface Protection,3M Scotch Green Masking Tape 1 1/2in,138.99,99.99,,
MMM26340,3M,Masking & Surface Protection,3M Scotch Green Masking Tape 2in,138.99,99.99,,
MMM36852,3M,Masking & Surface Protection,3M Dirt Trap Protection Material 28in,668.99,499.99,,1
MMM26689,3M,Spray Guns & PPS Systems,3M High Power Spray Gun Cleaner,16.99,16.99,Buy 2 cases Get 1 Free,6
MMM26114,3M,Spray Guns & PPS Systems,3M PPS 2.0 Mini Kit,159.99,99.99,,4
MMM26112,3M,Spray Guns & PPS Systems,3M PPS 2.0 Kit,175.99,109.99,,4
MMM08194,3M,Spray Guns & PPS Systems,3M Static Mix Nozzles,148.99,109.99,,3
MMM26000,3M,Spray Guns & PPS Systems,3M PPS Series 2.0 Standard,169.99,119.99,,3
MMM26024,3M,Spray Guns & PPS Systems,3M PPS Spray Cup Large,175.99,124.99,,3
MMM26301,3M,Spray Guns & PPS Systems,3M PPS 2.0 Medium Lids & Liners,169.99,119.99,,4
MMM26312,3M,Spray Guns & PPS Systems,3M PPS 2.0 Midi Lids & Liners,159.99,99.99,,4
MMM26314,3M,Spray Guns & PPS Systems,3M PPS 2.0 Mini Lids & Liners,159.99,99.99,,4
MMM26325,3M,Spray Guns & PPS Systems,3M PPS 2.0 Large Lids & Liners,191.99,129.99,,4
MMM26712,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 1.2,53.99,49.99,,2
MMM26713,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 1.3,53.99,49.99,,2
MMM26714,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 1.4,53.99,49.99,,2
MMM26716,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 1.6,53.99,49.99,,2
MMM26718,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 1.8,53.99,49.99,,2
MMM26720,3M,Spray Guns & PPS Systems,3M HVLP Atomizing Head Refill Kit 2.0,58.99,49.99,,2
MMM26832,3M,Spray Guns & PPS Systems,3M Performance Spray Gun,488.99,399.99,,1
MMM26912,3M,Spray Guns & PPS Systems,3M Fine Finishing Atomizing Head 1.2,53.99,49.99,,2
MMM26913,3M,Spray Guns & PPS Systems,3M Fine Finishing Atomizing Head 1.3,53.99,49.99,,2
MMM26914,3M,Spray Guns & PPS Systems,3M Fine Finishing Atomizing Head 1.4,53.99,49.99,,2
MMM26916,3M,Spray Guns & PPS Systems,3M Fine Finishing Atomizing Head 1.6,53.99,49.99,,2
MMM26918,3M,Spray Guns & PPS Systems,3M Fine Finishing Atomizing Head 1.8,53.99,49.99,,2
MMM33992,3M,Spray Guns & PPS Systems,3M OEM Match Wing Nozzle 1K Tip,58.99,39.99,,2
MMM33997,3M,Spray Guns & PPS Systems,3M OEM Match Wing Nozzle 2K Tip,62.99,39.99,,2
MMM26163,3M,Spray Guns & PPS Systems,3M PPS 2.0 Vented Cups Standard,201.99,69.99,,2
MMM26164,3M,Spray Guns & PPS Systems,3M PPS 2.0 Vented Large Cups,201.99,89.99,,2
MMM04274,3M,Other 3M Products,3M Dampening Material 200mL,90.99,69.99,,6
MMM06724,3M,Other 3M Products,3M Plastic Sheeting 16x350ft,58.99,33.99,,5
MMM08458,3M,Other 3M Products,3M Rigid Pillar Foam 200mL,85.99,74.99,,6
MMM08463,3M,Other 3M Products,3M Flexible Foam 200mL,85.99,74.99,,6
MMM08889,3M,Other 3M Products,3M Rocker Panel Coating Grey,37.99,34.99,,6
MMM31180,3M,Other 3M Products,3M Platinum Plus Glaze 30oz,74.99,49.99,,6
MMM33991,3M,Other 3M Products,3M OEM Match Sprayable 1K Tip,58.99,39.99,,2
MMM33993,3M,Other 3M Products,3M OEM Match Wide Stream 1K Tip,58.99,39.99,,2
MMM33994,3M,Other 3M Products,3M OEM Match Ripple Tip 1K Tip,58.99,39.99,,2
MMM33995,3M,Other 3M Products,3M OEM Match Adjustable Ripple Tip 2K,62.99,39.99,,2
MMM33996,3M,Other 3M Products,3M OEM Match Sprayable 2K Tip,62.99,39.99,,2
MMM33998,3M,Other 3M Products,3M OEM Match Wide Stream 2K Tip,62.99,39.99,,2
SEM29362,SEM,Seam Sealers,SEM 1K SEAM SEALER - WHITE,30.99,27.99,,
